asin	1	2	3	4	5
6363117	2	2	4	21	92
3963110	1	1	1	10	31
9744174	3	0	2	3	12
3040534	3	0	1	7	3
4216407	17	6	7	17	16
8763411	1	2	1	0	4
2450815	2	4	5	5	16
4509507	16	10	17	24	46
3007335	0	0	0	0	1
7386630	0	0	0	1	0
5693634	15	10	13	65	115
4180584	4	4	7	14	20
7660391	10	4	7	30	168
2077634	2	1	2	14	153
5009546	8	5	21	38	93
2843469	9	3	5	7	30
5247744	16	5	10	17	32
6822889	4	0	3	14	88
1547978	4	1	1	21	119
7568415	3	1	1	6	44
4836350	2	1	1	4	48
4827868	0	0	0	3	5
7063777	0	0	1	3	9
2912395	1	0	0	0	1
1336500	5	1	5	21	29
8064655	1	0	0	0	7
2887977	10	6	12	24	76
1397807	16	5	6	14	35
1285230	8	1	1	3	5
1511184	2	1	4	22	44
2191237	3	0	3	23	89
3130276	5	0	4	2	3
7656781	0	2	3	8	45
7878442	4	1	0	2	3
1386392	1	1	1	3	6
4766992	15	1	1	16	22
2587559	4	2	0	6	21
5517263	29	3	8	19	37
1370221	15	4	8	28	58
